このご時世なのでみんなで筋肉でも見せ合いましょう。トレーニーのためのレシピアプリ,-,-,-,5000000,今日は何を筋肉にしてやろうか。今日は誰に筋肉を見せつけてやろうか。そんなことを考えていても、実際は親族にしか筋肉をほめてもらえず女性には怖がられる。そして食事となれば鶏むね肉だ。来世はきっと鶏に憎まれるものになるのであろう。そんな全トレーニーの悩みを解決するアイデアを持ってきました。,https://camp-fire.jp/projects/view/293689?list=search_result_projects_popular_page3
オンラインパーソナルトレーニングを普及させ、日本を元気にしたい,42,終了,556000,500000,青山、表参道で店舗展開しているパーソナルトレーニングジムUR Fitです。新型コロナウイルスの影響で、リモートワークや在宅勤務による健康被害や精神的なストレス問題を解決したいと思い、オンラインパーソナルトレーニング開始しました。ぜひ、この機会にご体験ください！,https://camp-fire.jp/projects/view/270136?list=search_result_projects_popular_page3
ユウトレスタジオ,36,-,-,-,-,https://camp-fire.jp/projects/view/277219?list=search_result_projects_popular_page3
【初月無料！】筋トレ仲間と人生が変わるオンラインサロン,1,-,-,-,-,https://camp-fire.jp/projects/view/288503?list=search_result_projects_popular_page3
HALEO代官山 ジム存続の為のご支援をお願いします。,643,終了,10856106,10000000,様々なフィットネスコンテンツを提供するHALEO代官山は、健康とフィットネスを向上させたい皆様の為のジムであり、ホームでもあります。新型コロナウイルスの感染拡大を受け、ジムとしての存続の危機です。TEAM HALEO「STAY STRONG プロジェクト」、ジム存続の為のご支援をお願いします。,https://camp-fire.jp/projects/view/281328?list=search_result_projects_popular_page3
『大阪府箕面市』にスポーツジムをオープン！！,-,-,-,1000000,総合型スポーツジムとは異なり、当ジムはパーソナルジム同様にマンツーマン指導に当たらせて頂きます。その中でも『最大3人同時トレーニング』や『スタジオレッスン（ボクササイズ / ダンス etc ）』など、お客様の要望に可能な限り添える事が出来るプランがあります。,https://camp-fire.jp/projects/view/268486?list=search_result_projects_popular_page3
もう置き場所に困らない！強力磁石でどこでもピタッ！マグネット式ドリンクホルダー,18,終了,63690,50000,どこでも好きなところに貼り付けられる、強力磁石付きドリンクホルダー『AFIXT』！ボトルを入れてベルト調整するだけ。どんなサイズのボトルもキープでき、ピタッと貼り付いて、取り外しもラクラク。だれでも簡単に使えます。,https://camp-fire.jp/projects/view/246158?list=search_result_projects_popular_page3
コロナの影響で大打撃の２店舗。美容室とBARを守っていきたい！,657,終了,15361155,3000000,表参道にある美容室 IJK OMOTESANDO青山学院大学の裏手にある渋谷二丁目の深夜食堂 BAR Lm.コロナウイルスの影響により共に売上が50％以上減少しています。「前売りチケットを販売してほしい！クラファンしてほしい！」ありがたいお声により開始します！応援、宜しくお願い致します！,https://camp-fire.jp/projects/view/256699?list=search_result_projects_popular_page3
今改めて個々人の自己管理を見つめなおしましょう！,-,-,-,600000,東京都渋谷区代々木3丁目でパーソナルジムを開業します。食事指導、管理サービス＋パーソナルトレーニングで自身の健康管理を学びましょう！,https://camp-fire.jp/projects/view/252607?list=search_result_projects_popular_page3
新発売！KETON ver 2.0 の先行販売,9,終了,35358,1000000,スーパー糖質制限で理想的なPFCバランスに準拠した粉末タイプの食事代替プロテインです。前回のKETON ver1.0から、味の改変をし、より美味しくバージョンアップしました。ココアや、コーヒーなど飲料によって味変を楽しみながら毎日楽しく糖質制限を続けられます！,https://camp-fire.jp/projects/view/248694?list=search_result_projects_popular_page3
サッカー歴20年目の年に結果を出す、経歴なしのジャイアントキリング,47,終了,353500,800000,"これは私、サッカー歴20年、選抜歴一切なしのプレイヤーが
皆様の力をお借りして、Jリーガー、プロサッカー選手にな為のプロジェクトです。
",https://camp-fire.jp/projects/view/244021?list=search_result_projects_popular_page3
プロテイン入り！ ” 罪悪感なし ” のお菓子を作りたい！,29,終了,224000,500000,『ダイエット中』『食事制限中』だけど、『食べたい！！』そんな方のために、”罪悪感なし”の食品を提供したいと考えています！ストレスの少ない『健康な身体づくり』への貢献を目指して！どうか、ご支援のほど、よろしくお願いいたします！！,https://camp-fire.jp/projects/view/234463?list=search_result_projects_popular_page3
ファッションを組込んだ整体師として開業したい,4,終了,22000,200000,"ファッションが趣味でアクセサリーを創ったり,靴磨きをしています これらを纏めたサービス付きの整体があったら楽しいと思ってます私が本気で学びたい整体への投資が132万円掛かります...その為の費用回収の一貫としてプロジェクトを始めましたなお店舗は大阪の中崎町周辺で考えてますよろしくお願い致します",https://camp-fire.jp/projects/view/238810?list=search_result_projects_popular_page4
【パーソナルトレーニング×オーダーメイド×完全個室】隠すカラダからモテるカラダに,-,-,-,1000000,人前で隠したくなるカラダからハリウッドスターのようにスーツが似合う、人前で脱ぎたくなるようなカラダへ導きます。完全個室で誰にも気づかれることなくボディラインをかっこよく！ひとりひとりに合わせたオーダーメイドトレーニングであなたがなりたいボディへとアシストさせていただきます。,https://camp-fire.jp/projects/view/236999?list=search_result_projects_popular_page4
体型を最高に美しく見せる！生き方を肯定するカスタマイズTシャツ,67,終了,920000,500000,安価で高品質な服が簡単に手に入る現代。しかしその前提となる大量生産・消費・廃棄はこれからの世の中にふさわしくありません。自分だけの体型を最高に美しく見せ、自分らしい生き方を肯定する。我々が提案するデジタルとアナログを融合させたカスタムメイドアパレルの仕組みで、服の在り方を変えたいと考えています。,https://camp-fire.jp/projects/view/227182?list=search_result_projects_popular_page4
